Connecting to host 10.35.102.180, port 5201
[  6] local 10.35.102.188 port 60588 connected to 10.35.102.180 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  3.91 MBytes  32.8 Mbits/sec    0    184 KBytes       
[  6]   1.00-2.00   sec  3.73 MBytes  31.3 Mbits/sec    0    243 KBytes       
[  6]   2.00-3.00   sec  2.98 MBytes  25.0 Mbits/sec    0    243 KBytes       
[  6]   3.00-4.00   sec  3.11 MBytes  26.1 Mbits/sec    0    257 KBytes       
[  6]   4.00-5.00   sec  3.17 MBytes  26.6 Mbits/sec    0    257 KBytes       
[  6]   5.00-6.00   sec  3.67 MBytes  30.8 Mbits/sec    0    257 KBytes       
[  6]   6.00-7.00   sec  3.23 MBytes  27.1 Mbits/sec    0    276 KBytes       
[  6]   7.00-8.00   sec  5.03 MBytes  42.2 Mbits/sec    0    462 KBytes       
[  6]   8.00-9.00   sec  7.91 MBytes  66.4 Mbits/sec    0    779 KBytes       
[  6]   9.00-10.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.06 MBytes       
[  6]  10.00-11.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.35 MBytes       
[  6]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.57 MBytes       
[  6]  12.00-13.00  sec  3.75 MBytes  31.5 Mbits/sec    0   1.77 MBytes       
[  6]  13.00-14.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.00 MBytes       
[  6]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.19 MBytes       
[  6]  15.00-16.00  sec  3.75 MBytes  31.5 Mbits/sec    0   2.38 MBytes       
[  6]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0   2.49 MBytes       
[  6]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0   2.69 MBytes       
[  6]  18.00-19.00  sec  1.25 MBytes  10.5 Mbits/sec   39   1.23 MBytes       
[  6]  19.00-20.00  sec  2.50 MBytes  21.0 Mbits/sec   39   1.39 MBytes       
[  6]  20.00-21.00  sec  1.25 MBytes  10.5 Mbits/sec   11    107 KBytes       
[  6]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec   28   35.4 KBytes       
[  6]  22.00-23.00  sec  1.25 MBytes  10.5 Mbits/sec    5   91.9 KBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    129 KBytes       
[  6]  24.00-25.00  sec  1.25 MBytes  10.5 Mbits/sec   10   94.7 KBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   14   70.7 KBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    0   79.2 KBytes       
[  6]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   84.8 KBytes       
