,Time,Latitude,Longitude,Bitrate,DISTANCE_CENTER,DISTANCE_AP_RUESTHALLE,DISTANCE_AP_GARAGE
0,10:15:01.999000,52.315750009,10.563892794,3.72,143.87732826866326,182.8223433403593,101.18799121104303
1,10:15:02.999000,52.315753181,10.563852272,3.13,141.0927602937226,180.03696607599815,98.4136946988887
2,10:15:03.999000,52.315755832,10.563819498,8.87,138.83973456060292,177.7831385125378,96.17003295592964
3,10:15:04.999000,52.315757604,10.563798787,15.6,137.4149614498186,176.35770429290386,94.7521148658856
4,10:15:05.999000,52.3157602,10.563770616,3.13,135.47506804954995,174.4166117692467,92.82327802647708
5,10:15:07.999000,52.315766384,10.563677151,6.26,129.06480877989807,168.00584901331163,86.43398759882244
6,10:15:08.999000,52.315771354,10.563616034,40.1,124.86349742915176,163.80269414463248,82.25599377184756
7,10:15:09.999000,52.315777255,10.563546711,37.0,120.0956561904374,159.0321307029237,77.52019094922062
8,10:15:10.999000,52.315783466,10.563469154,21.9,114.76588582983784,153.69970545910562,72.22767620440541
9,10:15:11.999000,52.315789743,10.563387725,44.3,109.17284517688303,148.10403367829818,66.67776296465786
10,10:15:12.999000,52.315796285,10.56330597,52.1,103.55552181560667,142.483251835328,61.11480896849882
11,10:15:13.999000,52.315802941,10.563225369,80.3,98.01616383218631,136.93957554217357,55.64296383032791
12,10:15:14.999000,52.315809663,10.563146668,81.3,92.60619026649223,131.52425466218992,50.31721304066431
13,10:15:15.999000,52.31581656,10.563069229,94.9,87.28164515303432,126.19290974361114,45.101020923583945
14,10:15:16.999000,52.31582241,10.562992493,94.9,82.01484092829983,120.92119473717142,39.95162117334949
15,10:15:17.999000,52.315828444,10.562916531,81.8,76.80016345608108,115.7001463965024,34.89444056160963
16,10:15:18.999000,52.315835248,10.562840569,75.6,71.58128797076097,110.47111557710791,29.910716304737154
17,10:15:19.999000,52.315841532,10.562764021,78.2,66.32840356357445,105.20830600387869,24.976360898931
18,10:15:20.999000,52.315847335,10.562687969,79.8,61.11445154045587,99.98450087572617,20.22342184264746
19,10:15:21.999000,52.315852741,10.562612467,95.9,55.94230190623615,94.80232186778883,15.78417476111521
20,10:15:22.999000,52.315857897,10.562537612,94.4,50.81770740851309,89.66675875379012,11.972653467549005
21,10:15:23.999000,52.315862872,10.562463839,93.8,45.770236080735316,84.60661787368767,9.513364109980165
22,10:15:24.999000,52.315868322,10.562389993,94.4,40.72005631390803,79.53707616829158,9.481467219497405
23,10:15:25.999000,52.315873583,10.562317247,95.4,35.75129160805609,74.54441461521574,11.805623061686507
24,10:15:26.999000,52.315878995,10.562244645,81.8,30.801090761075823,69.56053688510404,15.455917803703441
25,10:15:27.999000,52.315884744,10.562171915,64.1,25.85787919919592,64.56557868291503,19.729945376437467
26,10:15:28.999000,52.315890188,10.562099538,82.4,20.963451652641773,59.59812219119955,24.245601212760423
27,10:15:29.999000,52.31589297,10.562027263,91.7,16.086443342152016,54.6600883191157,28.77930829103262
28,10:15:30.999000,52.315889276,10.561955413,51.1,11.17360729209045,49.811408239880656,33.139460769772576
29,10:15:31.999000,52.315877239,10.561885329,70.9,6.297754082412981,45.20841524440319,37.25311025100742
30,10:15:32.999000,52.315858821,10.561819262,19.3,2.6194280430006267,41.09080817480826,41.13591310930911
31,10:15:34.999000,52.315809669,10.561705646,9.39,9.484880726617593,35.21708623549236,48.11735551109814
32,10:15:35.999000,52.31577825,10.561662052,9.39,14.073030880251855,34.077304129821144,51.00937267236499
33,10:15:41.999000,52.315650221,10.561603385,9.39,28.255508102444313,40.305105087747734,56.984838064407086
34,10:15:48.999000,52.315579111,10.561587927,9.39,35.87392171732529,46.1186112992018,60.51894185226465
