,Time,Latitude,Longitude,Bitrate,DISTANCE_CENTER,DISTANCE_AP_RUESTHALLE,DISTANCE_AP_GARAGE
0,10:11:46.750000,52.3159663,10.561119838,119.0,46.99209096884605,8.409508725738254,90.2889895607402
1,10:11:46.750000,52.3159663,10.561119838,30.1,46.99209096884605,8.409508725738254,90.2889895607402
2,10:11:46.750000,52.3159663,10.561119838,29.7,46.99209096884605,8.409508725738254,90.2889895607402
3,10:11:47.750000,52.31596674,10.56112118,94.3,46.91320882690738,8.353209180272813,90.21083862380517
4,10:11:48.750000,52.315967375,10.561121233,94.4,46.924938403244674,8.384878256191199,90.22327054116357
5,10:11:49.750000,52.315969765,10.561109349,94.4,47.773793944787016,9.222071697089635,91.07286018861353
6,10:11:50.750000,52.315975975,10.561088264,83.9,49.32916982588521,10.8154852629835,92.63067601987649
7,10:11:51.750000,52.315985175,10.561063987,94.3,51.176719843100585,12.758883597997892,94.47965641970339
8,10:11:52.750000,52.315992,10.561037687,94.4,53.100133608291365,14.697841645022804,96.4025168326039
9,10:11:53.750000,52.315996244,10.561007879,73.4,55.18667877593778,16.7230039552698,98.48915611244271
10,10:11:54.750000,52.315998711,10.560973209,73.4,57.5477788187804,18.982887648562023,100.85071733900303
11,10:11:55.750000,52.315995533,10.560937913,52.4,59.80909162297403,21.08324372075063,103.10943832051845
12,10:11:57.750000,52.315984576,10.560875731,10.5,63.707852684279224,24.778159126269284,106.98127717518922
13,10:11:58.750000,52.315982969,10.560850802,10.5,65.34498701992263,26.389076078267042,108.60785567666183
14,10:12:00.750000,52.315997388,10.560807829,10.5,68.52663502320087,29.61783982798427,111.80809304927784
15,10:12:01.750000,52.316011452,10.560795226,10.5,69.69103810154509,30.872712567218837,112.98828579097582
16,10:12:02.750000,52.316031395,10.560790281,21.0,70.53127437195002,31.91068939218289,113.83312971386628
17,10:12:03.750000,52.316056108,10.560795165,21.0,70.93575684615666,32.68230539579499,114.20802634423374
18,10:12:04.750000,52.316085152,10.560812204,21.0,70.81723989917862,33.19691260335638,113.99586981907525
19,10:12:05.750000,52.316115417,10.560832252,10.5,70.7259661817079,33.97053225301794,113.73670789357944
20,10:12:06.750000,52.316145677,10.56084019,21.0,71.56999970599517,35.71205329091234,114.36574399756023
21,10:12:07.750000,52.316177651,10.560834595,21.0,73.47227029222857,38.45913791166068,116.01887571197507
22,10:12:08.750000,52.316207852,10.560826165,10.5,75.56810468039443,41.31328307431945,117.85550311622157
23,10:12:09.750000,52.316238079,10.560820008,10.5,77.62596032184884,44.15049689396346,119.62174767179319
24,10:12:10.750000,52.316270066,10.560816299,21.0,79.74264976580147,47.117992137788754,121.39446474669168
25,10:12:11.750000,52.316304688,10.560814991,10.5,81.99680302227947,50.314238592012195,123.23789664355999
26,10:12:13.750000,52.316366235,10.560813303,10.5,86.25028451407069,56.17820623478911,126.70087006432615
27,10:12:14.750000,52.316381106,10.56081211,10.5,87.36852038408942,57.65400132431463,127.6243729915458
