,Time,Latitude,Longitude,Bitrate,Distance
0,12:30:41.750000,52.315893845,10.56198643,71.5,21.603651447114594
1,12:30:41.750000,52.315893845,10.56198643,12.5,21.603651447114594
2,12:30:41.750000,52.315893845,10.56198643,7.82,21.603651447114594
3,12:30:42.750000,52.315894064,10.561977224,52.6,21.023992564826553
4,12:30:43.750000,52.315894125,10.561968,39.6,20.439631769487704
5,12:30:44.750000,52.315892978,10.561945778,55.3,18.987382525857342
6,12:30:45.750000,52.315886104,10.561909459,47.4,16.40947812107151
7,12:30:46.750000,52.315872127,10.561860385,71.9,12.720426346337344
8,12:30:47.750000,52.315850351,10.561802937,94.9,8.192731287346925
9,12:30:48.750000,52.315824628,10.561746629,90.7,3.9387855384137844
10,12:30:49.750000,52.315793172,10.561693262,79.8,3.7753587042385135
11,12:30:50.750000,52.315752274,10.561652087,46.9,8.687686338506706
12,12:30:51.750000,52.315701777,10.561626876,31.3,14.563774290582051
13,12:30:52.750000,52.315644744,10.56161225,23.5,20.944721304978827
14,12:30:53.750000,52.315584487,10.561602239,7.82,27.626228809441233
15,12:30:54.750000,52.315527714,10.561594872,7.82,33.91552826564507
16,12:30:55.750000,52.315471258,10.561584573,7.82,40.220062208151234
17,12:30:56.750000,52.315414199,10.561572622,7.82,46.61430693451089
18,12:30:57.750000,52.315362676,10.561564619,7.82,52.35849305690988
19,12:31:01.750000,52.315150198,10.561524112,7.82,76.1448322684978
