,Time,Latitude,Longitude,Bitrate,Distance
0,12:11:46.501000,52.315801169,10.563188357,3.45,102.287054545911
1,12:11:46.501000,52.315801169,10.563188357,12.5,102.287054545911
2,12:11:46.501000,52.315801169,10.563188357,12.4,102.287054545911
3,12:11:47.501000,52.315800726,10.56318842,4.17,102.29274655194735
4,12:11:48.501000,52.315800297,10.56318834,6.25,102.2886693180706
5,12:11:52.501000,52.315808467,10.563095729,3.13,95.9521741656362
6,12:11:53.501000,52.315812551,10.56304284,4.69,92.33731002964211
7,12:11:54.501000,52.315816456,10.562985725,2.09,88.4362094838151
8,12:11:55.501000,52.315820934,10.562922503,7.3,84.11979055537017
9,12:11:56.501000,52.315825493,10.562856776,6.78,79.63509031158505
10,12:11:57.501000,52.315829981,10.562787589,7.82,74.9175298917056
11,12:11:58.501000,52.315834348,10.562716206,10.9,70.05369638691182
12,12:11:59.501000,52.315838981,10.562645949,7.82,65.27145646117428
13,12:12:00.501000,52.315844655,10.562575707,15.6,60.49968255782152
14,12:12:01.501000,52.31585044,10.562503654,12.5,55.61541262387462
15,12:12:02.501000,52.315856083,10.562430736,12.5,50.68508895101098
16,12:12:03.501000,52.315861452,10.562360145,15.1,45.92808542743922
17,12:12:04.501000,52.315867121,10.562289155,18.2,41.169518001852936
18,12:12:05.501000,52.315873171,10.562218524,30.7,36.473804762336144
19,12:12:06.501000,52.315879515,10.562148262,42.2,31.859220137618397
20,12:12:07.501000,52.315884442,10.562077795,35.4,27.2729086953141
21,12:12:08.501000,52.315886467,10.56200561,30.8,22.582019738929915
22,12:12:09.501000,52.315881894,10.561934696,34.9,17.833596925409445
23,12:12:10.501000,52.315870708,10.561868052,40.7,13.14317546096506
24,12:12:11.501000,52.315853955,10.561806676,58.4,8.566966508336781
25,12:12:12.501000,52.315831868,10.561750829,65.2,4.250997833396612
26,12:12:13.501000,52.315804508,10.561702071,68.3,2.6567517384783086
27,12:12:14.501000,52.315772569,10.561661731,50.6,6.335760865564267
28,12:12:15.501000,52.315736888,10.56163182,23.5,10.75856308977845
29,12:12:16.501000,52.31569851,10.561613803,7.3,15.189301589942914
30,12:12:17.501000,52.315659632,10.561606054,9.9,19.463639098559565
31,12:12:18.501000,52.315622288,10.561601177,13.0,23.553137232222404
32,12:12:19.501000,52.315583869,10.56159584,9.9,27.78990290215856
33,12:12:20.501000,52.315547182,10.561592024,10.4,31.830837325350483
34,12:12:21.501000,52.315511697,10.561586648,9.9,35.77236177882276
35,12:12:22.501000,52.315477416,10.561580525,10.4,39.59649426767408
36,12:12:23.501000,52.315445583,10.561572879,10.4,43.17396535515023
37,12:12:24.501000,52.315421819,10.561558038,10.9,45.961862942066304
38,12:12:25.501000,52.315391451,10.561543994,10.4,49.46350876126273
39,12:12:26.501000,52.315369069,10.561524902,6.25,52.169833770519446
40,12:12:27.501000,52.315336508,10.561514779,3.13,55.856842858652314
41,12:12:28.501000,52.315307706,10.561502291,3.13,59.16973082883273
42,12:12:30.501000,52.315231278,10.561503786,6.26,67.480556552853
43,12:12:31.501000,52.315191084,10.561505759,3.13,71.85538992270337
44,12:12:32.501000,52.315147541,10.561507313,3.13,76.61416073121826
45,12:12:34.501000,52.315060774,10.561496505,3.13,86.26515302583645
