,Time,Latitude,Longitude,Bitrate,Distance
0,12:17:27.749000,52.315910471,10.561619254,32.8,10.435060163474613
1,12:17:27.749000,52.315910471,10.561619254,11.6,10.435060163474613
2,12:17:27.749000,52.315910471,10.561619254,11.2,10.435060163474613
3,12:17:28.749000,52.31591037,10.561619002,31.3,10.432909531574737
4,12:17:29.749000,52.315910088,10.561618724,25.0,10.413728144630657
5,12:17:30.749000,52.315909775,10.561617986,26.1,10.40614417692121
6,12:17:31.749000,52.315911477,10.56161811,26.6,10.570271264177945
7,12:17:32.749000,52.315914674,10.561619432,30.8,10.848116672764816
8,12:17:33.749000,52.315916488,10.561626953,27.1,10.819311271921375
9,12:17:34.749000,52.315919265,10.561650552,42.2,10.596140668925642
10,12:17:35.749000,52.315919306,10.56168782,66.4,10.271512760867111
11,12:17:36.749000,52.31591717,10.56173017,52.4,10.418910747365164
12,12:17:37.749000,52.315913517,10.561774105,41.9,11.241075349998324
13,12:17:38.749000,52.315908158,10.561821366,41.9,12.768393818422338
14,12:17:39.749000,52.315902005,10.561871708,31.5,14.996539679341499
15,12:17:40.749000,52.315896087,10.561923012,41.9,17.713269619677643
16,12:17:41.749000,52.315890487,10.561978533,21.0,20.970055988229234
17,12:17:42.749000,52.315885129,10.562038028,31.5,24.66471415569672
18,12:17:43.749000,52.315879719,10.562094541,21.0,28.270629487498347
19,12:17:44.749000,52.315874386,10.562146757,10.5,31.658295384158798
20,12:17:45.749000,52.315869421,10.562194982,10.5,34.82612387976552
21,12:17:46.749000,52.315864793,10.562244422,21.0,38.10898212806369
22,12:17:47.749000,52.315860042,10.562294647,10.5,41.464595692192596
23,12:17:48.749000,52.315855457,10.562346618,10.5,44.95701352087752
24,12:17:49.749000,52.31585091,10.562399733,10.5,48.540435494122036
25,12:17:51.749000,52.315840948,10.562500047,10.5,55.330021865760344
26,12:17:54.749000,52.315828064,10.562657072,10.5,66.01647231703465
27,12:17:58.749000,52.315810787,10.562868463,10.5,80.45213634453954
