Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 40962 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  10.7 MBytes  89.7 Mbits/sec    0    464 KBytes       
[  6]   1.00-2.00   sec  10.6 MBytes  88.7 Mbits/sec    0    612 KBytes       
[  6]   2.00-3.00   sec  11.2 MBytes  94.1 Mbits/sec    4    559 KBytes       
[  6]   3.00-4.00   sec  8.75 MBytes  73.4 Mbits/sec    0    641 KBytes       
[  6]   4.00-5.00   sec  10.0 MBytes  83.9 Mbits/sec    0    703 KBytes       
[  6]   5.00-6.00   sec  11.2 MBytes  94.4 Mbits/sec    0    738 KBytes       
[  6]   6.00-7.00   sec  11.2 MBytes  94.4 Mbits/sec    0    764 KBytes       
[  6]   7.00-8.00   sec  5.00 MBytes  41.9 Mbits/sec    2    129 KBytes       
[  6]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec    0    553 KBytes       
[  6]   9.00-10.00  sec  2.50 MBytes  21.0 Mbits/sec    1   1.41 KBytes       
[  6]  10.00-11.00  sec  2.50 MBytes  21.0 Mbits/sec    9    393 KBytes       
[  6]  11.00-12.00  sec  2.50 MBytes  21.0 Mbits/sec    0    393 KBytes       
[  6]  12.00-13.00  sec  1.25 MBytes  10.5 Mbits/sec    0    393 KBytes       
[  6]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0    393 KBytes       
[  6]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec   13    272 KBytes       
[  6]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0    301 KBytes       
[  6]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec   36    226 KBytes       
[  6]  17.00-18.00  sec  1.25 MBytes  10.5 Mbits/sec    0    243 KBytes       
[  6]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    7   8.48 KBytes       
[  6]  19.00-20.00  sec  0.00 Bytes  0.00 bits/sec   66   35.4 KBytes       
[  6]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec   44   41.0 KBytes       
[  6]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec    0   45.2 KBytes       
[  6]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    5   26.9 KBytes       
[  6]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec   13   35.4 KBytes       
[  6]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  6]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   12   9.90 KBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   13   33.9 KBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   41.0 KBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  6]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0   43.8 KBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   22   29.7 KBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec    1   35.4 KBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    2   24.0 KBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0   32.5 KBytes       
[  6]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   35.4 KBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    1   46.7 KBytes       
[  6]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0   62.2 KBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    1   22.6 KBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   36.8 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    6   33.9 KBytes       
[  6]  42.00-43.00  sec  0.00 Bytes  0.00 bits/sec    0   38.2 KBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   39.6 KBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0   41.0 KBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    0   41.0 KBytes       
[  6]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   42.4 KBytes       
[  6]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0   45.2 KBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   53.7 KBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    9   43.8 KBytes       
[  6]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0   53.7 KBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[  6]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0   69.3 KBytes       
[  6]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0   86.3 KBytes       
[  6]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0    117 KBytes       
[  6]  55.00-56.00  sec  5.00 MBytes  42.0 Mbits/sec    0    144 KBytes       
