Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 46646 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  6.47 MBytes  54.2 Mbits/sec    0    324 KBytes       
[  6]   1.00-2.00   sec  8.89 MBytes  74.5 Mbits/sec    0    477 KBytes       
[  6]   2.00-3.00   sec  5.72 MBytes  48.0 Mbits/sec    2    382 KBytes       
[  6]   3.00-4.00   sec  8.02 MBytes  67.2 Mbits/sec    0    419 KBytes       
[  6]   4.00-5.00   sec  7.77 MBytes  65.2 Mbits/sec    0    448 KBytes       
[  6]   5.00-6.00   sec  8.89 MBytes  74.5 Mbits/sec    0    468 KBytes       
[  6]   6.00-7.00   sec  10.6 MBytes  88.6 Mbits/sec    0    475 KBytes       
[  6]   7.00-8.00   sec  8.70 MBytes  73.0 Mbits/sec    0    477 KBytes       
[  6]   8.00-9.00   sec  9.45 MBytes  79.2 Mbits/sec    0    477 KBytes       
[  6]   9.00-10.00  sec  11.8 MBytes  99.1 Mbits/sec    0    478 KBytes       
[  6]  10.00-11.00  sec  7.77 MBytes  65.2 Mbits/sec    0    484 KBytes       
[  6]  11.00-12.00  sec  9.01 MBytes  75.6 Mbits/sec    0    499 KBytes       
[  6]  12.00-13.00  sec  11.6 MBytes  97.0 Mbits/sec    0    525 KBytes       
[  6]  13.00-14.00  sec  10.9 MBytes  91.7 Mbits/sec    0    566 KBytes       
[  6]  14.00-15.00  sec  11.9 MBytes  99.6 Mbits/sec    0    624 KBytes       
[  6]  15.00-16.00  sec  9.99 MBytes  83.8 Mbits/sec    0    677 KBytes       
[  6]  16.00-17.00  sec  11.2 MBytes  94.4 Mbits/sec    0    773 KBytes       
[  6]  17.00-18.00  sec  11.2 MBytes  94.4 Mbits/sec    0    897 KBytes       
[  6]  18.00-19.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.03 MBytes       
[  6]  19.00-20.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.10 MBytes       
[  6]  20.00-21.00  sec  11.2 MBytes  94.4 Mbits/sec   16    950 KBytes       
[  6]  21.00-22.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.02 MBytes       
[  6]  22.00-23.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.03 MBytes       
[  6]  23.00-24.00  sec  2.50 MBytes  21.0 Mbits/sec    1   1.04 MBytes       
[  6]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.04 MBytes       
[  6]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   19    274 KBytes       
[  6]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec   28    194 KBytes       
[  6]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    8   8.48 KBytes       
[  6]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   75   67.9 KBytes       
[  6]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec   48   63.6 KBytes       
[  6]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec   19   28.3 KBytes       
[  6]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   43.8 KBytes       
[  6]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   50.9 KBytes       
[  6]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    1   56.6 KBytes       
[  6]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    4   41.0 KBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    1   63.6 KBytes       
[  6]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    1    105 KBytes       
[  6]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    2    165 KBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0    184 KBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec   88   45.2 KBytes       
[  6]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec   22    141 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec   62   43.8 KBytes       
[  6]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   80.6 KBytes       
[  6]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    2    141 KBytes       
[  6]  44.00-45.00  sec  1.25 MBytes  10.5 Mbits/sec   44    115 KBytes       
[  6]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    1    204 KBytes       
[  6]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    2    380 KBytes       
[  6]  47.00-48.00  sec  6.25 MBytes  52.4 Mbits/sec    1    642 KBytes       
[  6]  48.00-49.00  sec  5.00 MBytes  41.9 Mbits/sec    0    778 KBytes       
[  6]  49.00-50.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1008 KBytes       
[  6]  50.00-51.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.18 MBytes       
[  6]  51.00-52.00  sec  6.25 MBytes  52.4 Mbits/sec   29    850 KBytes       
[  6]  52.00-53.00  sec  5.00 MBytes  41.9 Mbits/sec    0    936 KBytes       
[  6]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    1    942 KBytes       
[  6]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0    990 KBytes       
[  6]  55.00-56.00  sec  2.50 MBytes  21.0 Mbits/sec    0    990 KBytes       
[  6]  56.00-57.00  sec  3.75 MBytes  31.5 Mbits/sec    0    990 KBytes       
[  6]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    1   1010 KBytes       
[  6]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1010 KBytes       
[  6]  59.00-60.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1010 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec   294 MBytes  41.1 Mbits/sec  478             sender
[  6]   0.00-60.56  sec   290 MBytes  40.2 Mbits/sec                  receiver

iperf Done.
