Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 42172 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  23.00-24.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1.07 MBytes       
[  6]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec   29    766 KBytes       
[  6]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec    0    766 KBytes       
[  6]  26.00-27.00  sec  2.50 MBytes  21.0 Mbits/sec    0    766 KBytes       
[  6]  27.00-28.00  sec  3.75 MBytes  31.5 Mbits/sec    0    766 KBytes       
[  6]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    2    187 KBytes       
[  6]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    264 KBytes       
[  6]  30.00-31.00  sec  1.25 MBytes  10.5 Mbits/sec    0    414 KBytes       
[  6]  31.00-32.00  sec  2.50 MBytes  21.0 Mbits/sec    0    471 KBytes       
[  6]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0    471 KBytes       
[  6]  33.00-34.00  sec  0.00 Bytes  0.00 bits/sec   11    123 KBytes       
[  6]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0    335 KBytes       
[  6]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec    0    352 KBytes       
[  6]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    352 KBytes       
[  6]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec   25   19.8 KBytes       
[  6]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   92   18.4 KBytes       
[  6]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    246 KBytes       
[  6]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    6   7.07 KBytes       
[  6]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec  117   24.0 KBytes       
[  6]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec   11   39.6 KBytes       
[  6]  43.00-44.00  sec  0.00 Bytes  0.00 bits/sec    0   48.1 KBytes       
[  6]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0   52.3 KBytes       
[  6]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  6]  46.00-47.00  sec  1.25 MBytes  10.5 Mbits/sec    0   94.7 KBytes       
[  6]  47.00-48.00  sec  5.00 MBytes  41.9 Mbits/sec    0    351 KBytes       
[  6]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    0    417 KBytes       
[  6]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0    462 KBytes       
[  6]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0    462 KBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0    462 KBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0    462 KBytes       
[  6]  53.00-54.00  sec  1.25 MBytes  10.5 Mbits/sec    0    462 KBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0    462 KBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec   26   5.66 KBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec   83   7.07 KBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    2   32.5 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec   13   14.1 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec   294 MBytes  41.2 Mbits/sec  502             sender
[  6]   0.00-60.37  sec   291 MBytes  40.5 Mbits/sec                  receiver

iperf Done.
