Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 48224 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    229 KBytes       
[  6]  30.00-31.00  sec  2.50 MBytes  21.0 Mbits/sec    0    235 KBytes       
[  6]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec   12    167 KBytes       
[  6]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0    199 KBytes       
[  6]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0    221 KBytes       
[  6]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0    232 KBytes       
[  6]  35.00-36.00  sec  2.50 MBytes  21.0 Mbits/sec    0    235 KBytes       
[  6]  36.00-37.00  sec  2.50 MBytes  21.0 Mbits/sec    1    332 KBytes       
[  6]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0    366 KBytes       
[  6]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    443 KBytes       
[  6]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    0    443 KBytes       
[  6]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0    443 KBytes       
[  6]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    462 KBytes       
[  6]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    9    222 KBytes       
[  6]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    318 KBytes       
[  6]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0    385 KBytes       
[  6]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    1    411 KBytes       
[  6]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0    452 KBytes       
[  6]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0    460 KBytes       
[  6]  48.00-49.00  sec  2.50 MBytes  21.0 Mbits/sec    1    491 KBytes       
[  6]  49.00-50.00  sec  1.25 MBytes  10.5 Mbits/sec    0    491 KBytes       
[  6]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0    491 KBytes       
[  6]  51.00-52.00  sec  1.25 MBytes  10.5 Mbits/sec    0    491 KBytes       
[  6]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec    0    491 KBytes       
[  6]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    0    491 KBytes       
[  6]  54.00-55.00  sec  5.00 MBytes  41.9 Mbits/sec    0    491 KBytes       
[  6]  55.00-56.00  sec  6.25 MBytes  52.4 Mbits/sec    2    269 KBytes       
[  6]  56.00-57.00  sec  5.00 MBytes  41.9 Mbits/sec    0    344 KBytes       
[  6]  57.00-58.00  sec  6.25 MBytes  52.4 Mbits/sec    0    399 KBytes       
[  6]  58.00-59.00  sec  5.00 MBytes  41.9 Mbits/sec    0    416 KBytes       
[  6]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0    454 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-60.00  sec   215 MBytes  30.1 Mbits/sec  441             sender
[  6]   0.00-60.08  sec   212 MBytes  29.7 Mbits/sec                  receiver

iperf Done.
