Connecting to host 10.16.32.61, port 5201
[  6] local 10.16.32.22 port 33200 connected to 10.16.32.61 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  14.7 MBytes   123 Mbits/sec    0    624 KBytes       
[  6]   1.00-2.00   sec  11.2 MBytes  94.4 Mbits/sec    0   1.13 MBytes       
[  6]   2.00-3.00   sec  11.2 MBytes  94.4 Mbits/sec  108    974 KBytes       
[  6]   3.00-4.00   sec  11.2 MBytes  94.4 Mbits/sec    0   1.02 MBytes       
[  6]   4.00-5.00   sec  10.0 MBytes  83.9 Mbits/sec    0   1.10 MBytes       
[  6]   5.00-6.00   sec  11.2 MBytes  94.4 Mbits/sec   10    863 KBytes       
[  6]   6.00-7.00   sec  11.2 MBytes  94.4 Mbits/sec    0    923 KBytes       
[  6]   7.00-8.00   sec  11.2 MBytes  94.4 Mbits/sec    0    960 KBytes       
[  6]   8.00-9.00   sec  11.2 MBytes  94.4 Mbits/sec    0    981 KBytes       
[  6]   9.00-10.00  sec  11.2 MBytes  94.4 Mbits/sec    0    996 KBytes       
[  6]  10.00-11.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1003 KBytes       
[  6]  11.00-12.00  sec  11.2 MBytes  94.3 Mbits/sec    0   1004 KBytes       
[  6]  12.00-13.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1004 KBytes       
[  6]  13.00-14.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1005 KBytes       
[  6]  14.00-15.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1012 KBytes       
[  6]  15.00-16.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.00 MBytes       
[  6]  16.00-17.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.03 MBytes       
[  6]  17.00-18.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.07 MBytes       
[  6]  18.00-19.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.13 MBytes       
[  6]  19.00-20.00  sec  11.2 MBytes  94.4 Mbits/sec    6    875 KBytes       
[  6]  20.00-21.00  sec  11.2 MBytes  94.4 Mbits/sec    0    976 KBytes       
[  6]  21.00-22.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.03 MBytes       
[  6]  22.00-23.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.08 MBytes       
[  6]  23.00-24.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.12 MBytes       
[  6]  24.00-25.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.14 MBytes       
