,Time,Latitude,Longitude,Bitrate,Latency,DISTANCE_CENTER,DISTANCE_AP_RUESTHALLE,DISTANCE_AP_GARAGE
0,11:38:58.500000,52.315856834,10.5618065,88.7,1.77,2.3228837851659145,40.28129746610568,41.94527961223675
1,11:38:59.500000,52.315857975,10.5618063,94.1,24.4,2.201236939744818,40.24246239770228,41.983369108061396
2,11:39:00.500000,52.315859301,10.56180664,73.4,26.6,2.0779638064657684,40.23607491468905,41.9898268608782
3,11:39:01.500000,52.315862393,10.561813733,83.9,27.2,2.0715891347558277,40.64546101864125,41.58677305546125
4,11:39:02.500000,52.315870215,10.561839888,94.4,24.8,3.261613981076906,42.25378212619389,40.044155546077015
5,11:39:03.500000,52.31588572,10.561887997,94.4,53.7,6.56785241814908,45.27642262743604,37.353450633489004
6,11:39:04.500000,52.315899799,10.561953348,41.9,39.2,11.250805292532467,49.578058826613564,33.70131826524387
7,11:39:05.500000,52.315904483,10.562037026,52.4,49.5,16.940129825728558,55.24334296127168,28.751464970364946
8,11:39:06.500000,52.31589905,10.562133275,21.0,75.1,23.345882856240163,61.82987529339941,22.80353874605688
9,11:39:07.500000,52.315891016,10.562236958,21.0,38.6,30.321152514923785,68.94101175193245,16.764537533399743
10,11:39:08.500000,52.315883199,10.562344668,21.0,109.0,37.62873966393077,76.32739867866587,11.90340333593379
11,11:39:09.500000,52.315875181,10.562454728,10.5,67.1,45.1256928293972,83.87702132284294,10.594580204993605
12,11:39:10.500000,52.315866913,10.562568932,10.5,80.2,52.923245469505325,91.71196204089595,14.233228376790334
13,11:39:11.500000,52.315858506,10.562687451,10.5,73.7,61.02688077779884,99.84258919283177,20.657067862529466
14,11:39:12.500000,52.315846166,10.562803517,10.5,180.0,68.9907101145261,107.84432591851777,27.712591534706775
15,11:39:13.500000,52.315832665,10.562914295,10.5,87.8,76.61704817657743,115.50340142030105,34.813463544259626
16,11:39:14.500000,52.315826451,10.563032423,10.5,132.0,84.70037470442497,123.58834195980221,42.70735481726718
17,11:39:15.500000,52.315820329,10.563156361,0.0,117.0,93.17866967307067,132.0668706403327,51.057393489719686
18,11:39:18.500000,52.315798208,10.563516713,0.0,386.0,117.86455304706983,156.7630200850909,75.48742173982339
19,11:39:19.500000,52.315790853,10.563635977,0.0,112.0,126.03594225182535,164.93697951514665,83.60740341279154
20,11:39:20.500000,52.315785076,10.563755104,0.0,65.5,134.18499582301578,173.08520446587153,91.7277225939963
21,11:39:21.500000,52.315777598,10.563866116,0.0,452.0,141.7967477841558,180.70016784757024,99.30052925045361
22,11:39:22.500000,52.315764837,10.563960346,0.0,352.0,148.31596926161868,187.2327331241613,105.74538504567967
23,11:39:23.500000,52.31575279,10.564035288,0.0,31.1,153.5232479039874,192.45202697506605,110.88886872248634
24,11:39:24.500000,52.31575383,10.564096268,0.0,166.0,157.65549799382762,196.57747450956975,115.0419205468925
25,11:39:25.500000,52.31576942,10.564131838,0.0,61.4,159.93423657829405,198.82774396099808,117.42976530146763
26,11:39:26.500000,52.315781947,10.564141786,0.0,105.0,160.51383710082848,199.38335917309297,118.09715328780139
27,11:39:27.500000,52.315783199,10.564142397,0.0,112.0,160.54639170413836,199.41341990803264,118.13863065842355
28,11:39:28.500000,52.315778569,10.5641388,10.5,150.0,160.33562822196214,199.2118791769148,117.89485926190119
29,11:39:29.500000,52.315768956,10.564132236,0.0,8.29,159.96513996873534,198.85942222932934,117.45762892369143
30,11:39:30.500000,52.315757046,10.564122785,0.0,10.4,159.4270153894463,198.34178368205858,116.8397179015835
31,11:39:31.500000,52.315747005,10.56411497,0.0,22.2,158.99291782883137,197.92322014334275,116.34114720422485
32,11:39:33.500000,52.315732662,10.564105665,0.0,33.6,158.51363084866563,197.46319105663775,115.77479115787379
33,11:39:34.500000,52.315731241,10.564104712,0.0,380.0,158.46496934750468,197.41626045535173,115.71779761596886
34,11:39:35.500000,52.315731673,10.564103794,10.5,11.2,158.39781017992044,197.34867073530094,115.6528457631785
35,11:39:36.500000,52.315736831,10.564104463,0.0,24.7,158.38604168591377,197.33065215921883,115.67093887170691
36,11:39:37.500000,52.315746299,10.564102299,0.0,25.8,158.13953485244474,197.07187818698927,115.48043743039429
37,11:39:38.500000,52.315758194,10.564093827,0.0,88.1,157.44847747185884,196.36396383751983,114.86235950267073
38,11:39:39.500000,52.315769397,10.564074347,0.0,82.7,156.0249737933527,194.9236414021074,113.50966323691948
39,11:39:40.500000,52.315778672,10.564035116,0.0,261.0,153.28115494417935,192.1665572835253,110.82429794897456
40,11:39:41.500000,52.315784184,10.563978449,0.0,291.0,149.38352247916202,188.2635352441915,106.95837369952564
41,11:39:42.500000,52.315788791,10.563904174,0.0,33.2,144.295325594283,183.1731254867541,101.89467252735002
42,11:39:43.500000,52.315792704,10.563817674,0.0,82.1,138.3806466215906,177.25877823589286,95.99940297615399
43,11:39:44.500000,52.315796883,10.563727058,10.5,75.5,132.18394541644304,171.0622687875674,89.82651101784919
44,11:39:45.500000,52.315802704,10.563634008,0.0,158.0,125.80966768988253,164.68461852374892,83.4955845554963
45,11:39:46.500000,52.315809729,10.563538525,0.0,336.0,119.26188401654609,158.13032394595515,77.01152998085527
46,11:39:48.500000,52.315820396,10.563352686,0.0,202.0,106.54044759869504,145.40233318583404,64.41268239118479
47,11:39:49.500000,52.315826923,10.563263446,10.5,248.0,100.42362181840534,139.27741775867514,58.39528076467013
48,11:39:50.500000,52.31583305,10.563173772,10.5,77.6,94.28103813360023,133.1269603830962,52.369615644163865
