,Time,Latitude,Longitude,Bitrate,Latency,DISTANCE_CENTER,DISTANCE_AP_RUESTHALLE,DISTANCE_AP_GARAGE
0,11:37:17.248000,52.315812164,10.563453178,20.3,3.81,113.4361774406391,152.3083142783874,71.20716248765679
1,11:37:18.248000,52.315817311,10.563443085,24.0,55.4,112.71461908802739,151.57414046552242,70.54732500416492
2,11:37:19.248000,52.315819971,10.563417346,18.8,188.0,110.94534881447619,149.80050663727397,68.81115406824888
3,11:37:20.248000,52.315823464,10.563373752,21.9,294.0,107.9555940201431,146.80591983644555,65.86834648461596
4,11:37:21.248000,52.315829826,10.5633214,7.82,51.7,104.35368168110806,143.1909413390777,62.360554864609824
5,11:37:22.248000,52.315835235,10.563262796,17.7,52.6,100.33328493355764,139.16009084206743,58.43407499076036
6,11:37:23.248000,52.315840789,10.563198174,17.7,47.5,95.90394871417887,134.71941349828347,54.11866998644462
7,11:37:24.248000,52.315846633,10.563132643,37.5,149.0,91.41350562899744,130.21523593693888,49.77006259152922
8,11:37:25.248000,52.315850728,10.563068545,30.8,259.0,87.02944723178196,125.82288524152297,45.518278209242276
9,11:37:26.248000,52.315855773,10.563005286,41.9,261.0,82.7007722479807,121.48055373940599,41.37288194984675
10,11:37:27.248000,52.315859518,10.562943677,41.9,282.0,78.49022672120155,117.26067355790987,37.35092408176528
11,11:37:28.248000,52.315863697,10.562882895,83.9,288.0,74.33645759806085,113.09406194755748,33.44556796737914
12,11:37:29.248000,52.31586837,10.562822113,83.9,56.6,70.1840397578835,108.92430744888146,29.63010763493222
13,11:37:30.248000,52.315871451,10.562762033,94.4,28.1,66.08377008704264,104.81381325838838,25.903662001523347
14,11:37:31.248000,52.315876073,10.562700548,62.9,94.4,61.888946366987675,100.59738522900719,22.305637884483335
15,11:37:32.248000,52.31588022,10.562637856,94.4,59.3,57.61566488225262,96.30249808629412,18.86991323717214
16,11:37:33.248000,52.315884031,10.56257401,94.4,83.0,53.26735855573469,91.93158907630173,15.77929147230257
17,11:37:34.248000,52.315887603,10.56250939,94.4,91.7,48.870249240346304,87.50976218015231,13.373059341420529
18,11:37:35.248000,52.315891113,10.562443851,94.4,45.9,44.41569859620727,83.02600077309751,12.140310216729048
19,11:37:36.248000,52.315895074,10.562377997,94.4,71.2,39.94945017294751,78.51858362604678,12.55077623609883
20,11:37:37.248000,52.315899173,10.562312026,94.4,78.6,35.48803247639357,74.00309031757747,14.452690281900734
21,11:37:38.248000,52.315903717,10.562244992,94.4,77.9,30.97685973919492,69.41389804868079,17.437773859596813
22,11:37:39.248000,52.315908742,10.562179272,52.4,71.1,26.59202352196928,64.91369118860169,20.981695283640388
23,11:37:40.248000,52.315914342,10.562114606,83.9,82.0,22.34258786769166,60.48587231369236,24.822053009244225
24,11:37:41.248000,52.31592048,10.562049849,83.9,34.9,18.20131064458667,56.05477261613067,28.876044389977565
25,11:37:42.248000,52.31592699,10.561984596,83.9,49.2,14.244383893222727,51.59601487244293,33.086698999947174
26,11:37:43.248000,52.315931629,10.561919517,94.4,50.5,10.618503155177528,47.15730901974216,37.26402621933719
27,11:37:44.248000,52.315934724,10.561855204,62.9,77.8,7.790532612948357,42.77446096027238,41.38432089141839
