,Time,Latitude,Longitude,Bitrate,Latency,DISTANCE_CENTER,DISTANCE_AP_RUESTHALLE,DISTANCE_AP_GARAGE
0,11:41:55.248000,52.315723432,10.564559491,1.31,3.74,189.4195515502282,228.34636050103603,146.7367438506773
1,11:41:56.248000,52.315727296,10.564529336,0.0,154.0,187.33306188916984,226.2572434521932,144.6631646928773
2,11:41:57.248000,52.315731601,10.564494749,1.57,383.0,184.94153992109835,223.86274384732684,142.2863871601337
3,11:41:58.248000,52.315735483,10.564457443,0.0,300.0,182.36970886722864,221.28857659405926,139.72716397299666
4,11:42:00.248000,52.315743566,10.564365139,1.56,13.6,176.021567836415,214.93640138313063,133.40415498491583
5,11:42:01.248000,52.315748277,10.564309528,0.0,272.0,172.1987889242033,211.11124118115123,129.59690827822337
6,11:42:02.248000,52.315754179,10.564250457,0.0,99.7,168.13035815902074,207.03875145684648,125.55150971268739
7,11:42:03.248000,52.315758978,10.564189702,1.56,71.6,163.9577967620246,202.86376348079406,121.39646768150935
8,11:42:04.248000,52.315763997,10.564126326,1.56,118.0,159.60538584460187,198.50863821508048,117.06384319224564
9,11:42:05.248000,52.315769321,10.564059212,2.09,26.4,154.9965173336508,193.89668067775702,112.47778043093446
10,11:42:06.248000,52.315773674,10.563992295,1.56,16.1,150.4095604271441,189.30814662855235,107.90871224176168
11,11:42:07.248000,52.315779179,10.563929171,2.61,5.22,146.07115345220325,184.96553060028228,103.59931636030086
12,11:42:08.248000,52.315783895,10.563869875,8.34,87.2,142.00002248766722,180.8910451418621,99.5543078085481
13,11:42:09.248000,52.315787758,10.563810525,4.69,106.0,137.93232215611576,176.82150508386275,95.50792111493524
14,11:42:10.248000,52.315791947,10.563751239,28.7,5.92,133.86657954005616,172.7531068468724,91.46834327212188
15,11:42:11.248000,52.315796009,10.563691755,18.8,8.21,129.7885842959826,168.67257179245092,87.41784365996067
16,11:42:12.248000,52.315800711,10.563633478,38.6,59.5,125.78817930430571,164.6678403746149,83.454219177159
17,11:42:13.248000,52.31580453,10.563577481,36.0,22.5,121.94982929108777,160.82669672000367,79.64762177467998
18,11:42:14.248000,52.31580823,10.563524591,47.4,57.0,118.32402199177845,157.1978362909239,76.05588966997364
19,11:42:15.248000,52.315812137,10.563471845,17.7,46.4,114.70686351812894,153.57685371771322,72.47879263302721
20,11:42:16.248000,52.315816048,10.563419207,34.4,86.6,111.09741903468606,149.96327576184683,68.91388380902666
21,11:42:17.248000,52.315820558,10.563367632,46.4,72.0,107.55692993543464,146.41648703911503,65.43103823692694
22,11:42:18.248000,52.315824641,10.563316849,69.3,55.1,104.073802787499,142.9277119891822,62.00650714258014
23,11:42:19.248000,52.315827517,10.563267578,62.0,22.7,100.7014188039986,139.55282086845176,58.68153429908556
24,11:42:20.248000,52.315830188,10.563217227,80.3,31.0,97.25687300359753,136.1063993302567,55.287185184955256
25,11:42:21.248000,52.315833474,10.563166326,92.3,33.3,93.77153169415436,132.61703726033426,51.869623595236256
26,11:42:22.248000,52.315837379,10.563113065,80.8,15.8,90.12251659821159,128.96178826448045,48.311108110484874
27,11:42:23.248000,52.315840702,10.563057192,90.2,29.8,86.29923823031942,125.13425741391495,44.58311589019148
28,11:42:24.248000,52.315843961,10.562998653,91.2,21.0,82.29507974911398,121.1260875589227,40.693114152143814
29,11:42:25.248000,52.315848885,10.562939672,90.2,41.7,78.25387822872608,117.07345576311602,36.834799304785044
30,11:42:26.248000,52.315853264,10.562880628,81.3,43.7,74.2123995626574,113.02158349258731,33.00631222949497
31,11:42:27.248000,52.315857797,10.562819042,91.2,21.1,69.99880167780972,108.79586362542796,29.077659693425375
32,11:42:28.248000,52.315862711,10.562754899,79.7,46.5,65.61201002989186,104.39351943076241,25.09775045514711
33,11:42:29.248000,52.31586785,10.562687305,81.3,16.1,60.9926063215914,99.75518468868306,21.086932995396637
34,11:42:30.248000,52.315873644,10.562616343,91.2,47.1,56.1473191232422,94.88347415460211,17.248228167997507
35,11:42:31.248000,52.315879001,10.562542695,91.7,49.6,51.12547375590172,89.83312016201938,13.915147103868335
36,11:42:32.248000,52.315884327,10.562468182,93.8,40.8,46.0523947352192,84.72495302431618,11.84782063303539
37,11:42:33.248000,52.315890212,10.562391372,94.1,48.8,40.835754171684236,79.45787927627988,11.88663789966656
38,11:42:34.248000,52.315896167,10.562311907,94.4,48.1,35.45720029928945,74.0112467542397,14.160765027979542
39,11:42:35.248000,52.315901805,10.562230721,62.9,51.0,29.98754286356513,68.45100762205782,17.92488900800972
40,11:42:36.248000,52.3159073,10.562148499,83.9,64.7,24.49164651468373,62.82286037503157,22.499860688165473
41,11:42:37.248000,52.3159115,10.562067394,83.9,53.1,19.124313359800055,57.27822681144312,27.333791153322593
