,Time,Latitude,Longitude,Bitrate,Latency,DISTANCE_CENTER,DISTANCE_AP_RUESTHALLE,DISTANCE_AP_GARAGE
0,11:34:39,52.315809089,10.56351882,0.0,285.0,117.92520470172573,156.79752734854935,75.6660580508076
1,11:34:40,52.315809226,10.563519873,3.13,373.0,117.99590831579096,156.86776350720646,75.73838050597337
2,11:34:41,52.315809296,10.563521242,36.0,508.0,118.0885903393375,156.96011067525785,75.8319622852423
3,11:34:42,52.315809325,10.563522466,33.9,77.2,118.17169173867148,157.04299763517125,75.91549360784674
4,11:34:43,52.315809018,10.563523177,33.9,51.0,118.22223096062494,157.09423001218332,75.9626866163924
5,11:34:44,52.315808823,10.563524059,16.7,36.2,118.28362766731271,157.1560161315343,76.02200179043929
6,11:34:45,52.315809307,10.563518256,25.5,44.7,117.8852904079986,156.75712757452973,75.62852215411695
7,11:34:46,52.315810972,10.563500102,17.7,92.4,116.63814244026987,155.5078371166272,74.39864860457864
8,11:34:47,52.315813154,10.563469256,34.4,106.0,114.52368274074028,153.39131086783183,72.30739227811023
9,11:34:48,52.315816913,10.563425915,53.7,71.8,111.54832416689304,150.41100063816214,69.37573212952911
10,11:34:49,52.3158216,10.563375771,68.3,64.1,108.10449311497948,146.96003500407025,65.9922507557652
11,11:34:50,52.31582642,10.563315962,69.3,26.4,104.00271570004955,142.85131745156403,61.96094521945876
12,11:34:51,52.315831778,10.563248838,85.5,30.3,99.40072510823106,138.2408864373949,57.44997236084711
13,11:34:52,52.315837123,10.563180047,87.0,22.8,94.68661269037368,133.51762120679612,52.843993300805636
14,11:34:53,52.315841665,10.563111096,95.9,35.5,89.96687753792888,128.7906627867314,48.23897304564358
15,11:34:54,52.315848098,10.56304326,88.6,34.7,85.31624168274485,124.1240599637993,43.769360845191784
16,11:34:55,52.315853352,10.562977055,89.7,32.3,80.78428628045421,119.57882362425075,39.43206035343895
17,11:34:56,52.315858972,10.56290984,85.0,32.3,76.18489652075228,114.96264042033614,35.091955618773916
18,11:34:57,52.315863807,10.562841257,82.9,30.2,71.49728024268282,110.26000450441732,30.720517738060792
19,11:34:58,52.315868128,10.562771899,94.2,30.0,66.76037858520685,105.50880452073262,26.39499626782256
20,11:34:59,52.315873178,10.562701928,94.4,24.0,61.98385040347552,100.7110390526219,22.243708773544988
21,11:35:00,52.315877554,10.562631931,94.4,23.8,57.20996742580206,95.91671817829682,18.36888823448146
22,11:35:01,52.31588221,10.562562041,94.4,61.5,52.44820644653822,91.12825808500091,15.064022378131913
23,11:35:02,52.315886827,10.562492348,94.4,70.1,47.70625166877355,86.35408219647894,12.745675760266977
24,11:35:03,52.315891663,10.562422485,94.4,87.6,42.96219395831281,81.56776928956903,12.010237777470584
25,11:35:04,52.315896529,10.562353081,83.9,53.3,38.26216936568693,76.81358081420265,13.109293166155387
26,11:35:05,52.315901782,10.562284253,83.9,50.8,33.622905140525525,72.09801218673064,15.662064512733417
27,11:35:06,52.315907174,10.562215714,73.4,52.2,29.0343321108243,67.40355985473875,19.062836692320086
28,11:35:07,52.315911858,10.562147393,62.9,47.7,24.494481715032823,62.72912654604645,22.871679293985004
29,11:35:08,52.315916051,10.562077431,73.4,26.2,19.90176135300579,57.94646995423789,27.023088544786862
30,11:35:09,52.31592013,10.562007128,83.9,43.5,15.405701758290855,53.14281757014173,31.372490061957787
31,11:35:10,52.315923424,10.561938078,83.9,32.7,11.21276227404153,48.428233004489485,35.7263909602676
32,11:35:11,52.31592782,10.561868965,73.4,49.9,7.751427333313286,43.7103181015374,40.21638023450927
33,11:35:12,52.315931062,10.561799446,52.4,27.5,6.142681445477863,38.969079008492926,44.73622254546462
34,11:35:13,52.315936251,10.561727843,83.9,54.8,8.043061435910255,34.0931352907199,49.507647870859685
35,11:35:14,52.315943645,10.561656173,94.4,40.6,11.988297313129562,29.238058832171525,54.38899527317132
36,11:35:15,52.3159532,10.561585169,52.4,60.5,16.572854169812846,24.493022256318376,59.315524336699845
37,11:35:16,52.315964372,10.56151954,21.0,66.5,21.082029620094364,20.24567427080264,63.954603329805046
38,11:35:17,52.31597702,10.56146588,10.5,51.1,24.97957214247721,17.04474501681938,67.87093205042639
39,11:35:18,52.315990108,10.561418165,0.0,33.9,28.541176987241567,14.591235545276636,71.4192888592553
40,11:35:19,52.31600316,10.561371865,10.5,48.0,32.01515905364157,12.748363846477401,74.87667131835221
41,11:35:20,52.316013561,10.561325352,0.0,51.2,35.373817744485656,11.424890311671366,78.252570440483
42,11:35:21,52.316020644,10.561278176,10.5,53.4,38.62118178872629,10.650845885103811,81.55128141336446
43,11:35:22,52.316024067,10.56123106,10.5,39.6,41.71242924728383,10.469229927397443,84.71787458453483
44,11:35:23,52.316026415,10.561184359,0.0,49.0,44.75294695265658,11.1335413707338,87.82575363416284
45,11:35:24,52.316031429,10.561134745,10.5,71.3,48.10524658648611,12.954661331802809,91.21834571851323
46,11:35:25,52.316035487,10.561086106,10.5,52.3,51.36845566191592,15.212089045649602,94.51852837957219
47,11:35:26,52.31603564,10.561037519,10.5,80.3,54.495331889406536,17.51874616649422,97.69310557810978
48,11:35:27,52.316035094,10.560987272,10.5,184.0,57.726838876274165,20.155410657467044,100.9638102072804
49,11:35:28,52.316025915,10.560931995,0.0,312.0,61.038634609656356,22.833451372845037,104.32314007062669
50,11:35:30,52.316007558,10.560836826,0.0,1570.0,66.82789272115085,28.03678909652844,110.12667312132217
51,11:35:31,52.316016809,10.560804699,10.5,547.0,69.19300748660858,30.439652637010347,112.4945619342735
52,11:35:32,52.316038405,10.560787158,0.0,123.0,70.93246178091762,32.39230062395709,114.23058132560499
53,11:35:33,52.316068274,10.560789919,0.0,111.0,71.67139175629902,33.60364567531079,114.91823004275787
54,11:35:35,52.316133393,10.560838956,0.0,307.0,71.08475573571094,34.872186893373744,113.971042231161
55,11:35:37,52.316203081,10.5608445,0.0,342.0,74.21795457620347,40.09091425454665,116.4972152212092
