Connecting to host 10.35.102.180, port 5201
[  6] local 10.35.102.188 port 38614 connected to 10.35.102.180 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  1.59 MBytes  13.3 Mbits/sec   23   67.9 KBytes       
[  6]   1.00-2.00   sec  1018 KBytes  8.34 Mbits/sec   36   9.90 KBytes       
[  6]   2.00-3.00   sec  1.24 MBytes  10.4 Mbits/sec   29   35.4 KBytes       
[  6]   3.00-4.00   sec  1.24 MBytes  10.4 Mbits/sec   15   1.41 KBytes       
[  6]   4.00-5.00   sec  1018 KBytes  8.34 Mbits/sec   15   52.3 KBytes       
[  6]   5.00-6.00   sec   509 KBytes  4.17 Mbits/sec   33   33.9 KBytes       
[  6]   6.00-7.00   sec   509 KBytes  4.17 Mbits/sec   17   22.6 KBytes       
[  6]   7.00-8.00   sec   255 KBytes  2.08 Mbits/sec   10   31.1 KBytes       
[  6]   8.00-9.00   sec   509 KBytes  4.17 Mbits/sec    0   49.5 KBytes       
[  6]   9.00-10.00  sec   764 KBytes  6.25 Mbits/sec   17   1.41 KBytes       
[  6]  10.00-11.00  sec   509 KBytes  4.17 Mbits/sec   12   52.3 KBytes       
[  6]  11.00-12.00  sec  1018 KBytes  8.34 Mbits/sec   18   36.8 KBytes       
[  6]  12.00-13.00  sec  1.24 MBytes  10.4 Mbits/sec   18   39.6 KBytes       
[  6]  13.00-14.00  sec  1.24 MBytes  10.4 Mbits/sec   14   56.6 KBytes       
[  6]  14.00-15.00  sec  1.74 MBytes  14.6 Mbits/sec   31   49.5 KBytes       
[  6]  15.00-16.00  sec  1018 KBytes  8.34 Mbits/sec   11   67.9 KBytes       
[  6]  16.00-17.00  sec   255 KBytes  2.08 Mbits/sec    2   80.6 KBytes       
[  6]  17.00-18.00  sec  5.10 MBytes  42.8 Mbits/sec   19    105 KBytes       
[  6]  18.00-19.00  sec  4.29 MBytes  36.0 Mbits/sec    0    130 KBytes       
[  6]  19.00-20.00  sec  5.28 MBytes  44.3 Mbits/sec   11    107 KBytes       
