,Time,Latitude,Longitude,Bitrate,Distance
0,13:57:52.001000,52.315830146,10.562854712,7.37,79.49492866985277
1,13:57:52.001000,52.315830146,10.562854712,7.25,79.49492866985277
2,13:57:52.001000,52.315830146,10.562854712,7.04,79.49492866985277
3,13:57:53.001000,52.315830071,10.562850676,6.25,79.21966539864967
4,13:57:54.001000,52.315832103,10.562824459,4.17,77.43317564676204
5,13:57:55.001000,52.315835688,10.562775955,2.09,74.1297298710492
6,13:57:56.001000,52.315840655,10.562714262,4.17,69.93285967900495
7,13:57:57.001000,52.31584664,10.562639749,2.08,64.87185548950698
8,13:57:58.001000,52.31585328,10.562558605,4.17,59.373581397283616
9,13:57:59.001000,52.315859842,10.562474534,8.34,53.69292221298187
10,13:58:00.001000,52.315866418,10.562388103,6.26,47.87571166431811
11,13:58:01.001000,52.315873397,10.562299653,10.4,41.96144952615189
12,13:58:02.001000,52.315880398,10.562210338,18.8,36.04502490966626
13,13:58:03.001000,52.315886702,10.56212052,24.5,30.167456590532403
14,13:58:04.001000,52.315888215,10.562033393,13.0,24.453259893399377
15,13:58:05.001000,52.315882691,10.561950562,2.61,18.88267314720159
16,13:58:06.001000,52.315868602,10.561872994,5.21,13.373933462417588
17,13:58:07.001000,52.315846774,10.561801625,15.6,7.989276810527262
18,13:58:08.001000,52.315816027,10.561738256,10.4,3.5739854634165384
19,13:58:09.001000,52.315778347,10.561686425,13.0,5.416629148489379
20,13:58:10.001000,52.315735466,10.561646829,12.5,10.583498144425464
21,13:58:11.001000,52.315691949,10.561621396,13.0,15.718833593598818
22,13:58:12.001000,52.315647038,10.561606611,7.82,20.79822568942576
23,13:58:13.001000,52.315597643,10.561597253,7.82,26.27703514179791
24,13:58:14.001000,52.315548829,10.561588058,2.61,31.70920326956782
25,13:58:15.001000,52.315503261,10.561582589,5.21,36.747136237650636
26,13:58:17.001000,52.315419639,10.561568041,2.61,46.07283664534345
27,13:58:19.001000,52.31532324,10.561537943,2.61,56.99371919988605
28,13:58:20.001000,52.315278326,10.561514065,2.61,62.20736888602832
29,13:58:21.001000,52.315232216,10.561495285,2.08,67.48910435756308
