,Time,Latitude,Longitude,Bitrate,Distance
0,13:47:41.248000,52.315231835,10.561622796,15.9,66.37970686163786
1,13:47:41.248000,52.315231835,10.561622796,15.2,66.37970686163786
2,13:47:44.248000,52.315254078,10.561610595,2.35,63.97476679506073
3,13:47:45.248000,52.315275309,10.561602335,3.65,61.67233237706124
4,13:47:46.248000,52.315303712,10.561600849,2.61,58.53748439929332
5,13:47:47.248000,52.315347756,10.561611981,4.17,53.585105873303924
6,13:47:48.248000,52.315397957,10.561626915,5.21,47.92841503196568
7,13:47:49.248000,52.315452132,10.56163524,7.3,41.873611006826266
8,13:47:50.248000,52.315504299,10.561641234,3.65,36.05545950058301
9,13:47:51.248000,52.315556298,10.561642049,11.0,30.29160265895913
10,13:47:52.248000,52.315606405,10.561646929,16.2,24.71343822683444
11,13:47:53.248000,52.315657152,10.561657274,37.5,19.02298558568504
12,13:47:54.248000,52.315706146,10.561675827,52.6,13.477799225264292
13,13:47:55.248000,52.315751528,10.561704536,56.3,8.46458636260421
14,13:47:56.248000,52.315785141,10.561763765,55.3,6.905775018258191
15,13:47:57.248000,52.315816364,10.561830335,46.9,9.71054268646001
16,13:47:58.248000,52.315837201,10.561904685,57.9,14.752081516656672
17,13:47:59.248000,52.315845389,10.561985258,32.3,20.306269567553493
18,13:48:00.248000,52.315843997,10.562065437,6.77,25.74018767666433
19,13:48:01.248000,52.315840353,10.56214543,14.6,31.16106893996872
20,13:48:02.248000,52.315836099,10.562225661,7.3,36.61087348329984
21,13:48:03.248000,52.315831224,10.562306629,14.6,42.120998772612296
22,13:48:04.248000,52.315825735,10.562387382,7.82,47.625429110336576
23,13:48:05.248000,52.315821985,10.562468467,7.3,53.15763499099658
24,13:48:06.248000,52.31581821,10.562549201,7.82,58.66840883340471
25,13:48:08.248000,52.31580744,10.562706529,7.3,69.42316232823106
26,13:48:09.248000,52.315801727,10.562784023,7.3,74.72657598205033
