,Time,Latitude,Longitude,Bitrate,Distance
0,13:59:56.249000,52.315827042,10.562889502,2.39,81.8666180193062
1,13:59:56.249000,52.315827042,10.562889502,6.2,81.8666180193062
2,13:59:56.249000,52.315827042,10.562889502,5.29,81.8666180193062
3,13:59:57.249000,52.315826122,10.562890809,2.11,81.95580607321315
4,13:59:58.249000,52.315825715,10.562884855,2.09,81.54984854900297
5,13:59:59.249000,52.315826793,10.562854541,1.04,79.48250311268441
6,14:00:00.249000,52.315829819,10.562799408,1.56,75.72342616425276
7,14:00:01.249000,52.315835142,10.562731248,3.13,71.08046696214792
8,14:00:02.249000,52.315840777,10.562657241,2.08,66.04567550762557
9,14:00:03.249000,52.315847361,10.562575395,2.61,60.48894503709377
10,14:00:06.249000,52.315870406,10.562295262,2.61,41.624373678207114
11,14:00:07.249000,52.315879306,10.562196622,7.82,35.102464048715035
12,14:00:08.249000,52.315888162,10.56209726,13.0,28.660484253765038
13,14:00:09.249000,52.315897251,10.561998395,10.4,22.500313615665217
14,14:00:10.249000,52.315906127,10.561902835,13.0,17.03417410509151
15,14:00:11.249000,52.315913742,10.561809773,18.2,12.688312807635342
16,14:00:12.249000,52.315920563,10.561717404,16.7,10.589721189035936
17,14:00:13.249000,52.315927541,10.561626332,16.2,11.975983483482855
18,14:00:14.249000,52.315934561,10.561540008,5.73,15.699705325041187
19,14:00:15.249000,52.315944026,10.561456139,12.0,20.53610479854705
20,14:00:16.249000,52.315954885,10.561375962,6.26,25.655412956944982
21,14:00:17.249000,52.315965424,10.561302524,13.0,30.526125584087655
22,14:00:18.249000,52.315974377,10.561237339,13.6,34.894037902682314
23,14:00:19.249000,52.315981958,10.561179084,6.77,38.81327479544292
24,14:00:20.249000,52.315991707,10.561125734,6.78,42.55948163510899
25,14:00:23.249000,52.316017698,10.560971481,6.78,53.333197538667726
