,Time,Latitude,Longitude,Bitrate,Distance
0,06:45:39.501000,52.315811823,10.562955155,8.95,86.36026463192525
1,06:45:39.501000,52.315811823,10.562955155,10.2,86.36026463192525
2,06:45:39.501000,52.315811823,10.562955155,10.0,86.36026463192525
3,06:45:40.501000,52.315811878,10.562954811,7.3,86.33669095020868
4,06:45:41.501000,52.315811824,10.56295353,9.38,86.2494689630951
5,06:45:42.501000,52.315811523,10.562951197,7.3,86.09106747793552
6,06:45:43.501000,52.315811376,10.562949179,4.17,85.95380967468911
7,06:45:44.501000,52.315811278,10.56294245,16.2,85.49525141200732
8,06:45:45.501000,52.315812392,10.562925811,12.5,84.3583371497321
9,06:45:46.501000,52.315814327,10.562898109,13.6,82.4656303310152
10,06:45:47.501000,52.315816633,10.562862687,24.0,80.04632709791127
11,06:45:48.501000,52.315818938,10.562823301,20.8,77.35733863657077
12,06:45:49.501000,52.315821339,10.562782313,14.6,74.55967409500205
13,06:45:50.501000,52.315824046,10.5627359,13.0,71.39269536774063
14,06:45:51.501000,52.315826729,10.562686155,4.69,67.9996498740238
15,06:45:52.501000,52.315830166,10.562634291,7.3,64.46380764756692
16,06:45:53.501000,52.31583399,10.562577761,6.78,60.612845963990424
17,06:45:54.501000,52.315837395,10.562519899,4.17,56.67383715897102
18,06:45:55.501000,52.315840972,10.562463892,7.3,52.86557456991913
19,06:45:56.501000,52.315844083,10.562411434,12.5,49.30206338916077
20,06:45:57.501000,52.31584706,10.562361652,11.5,45.92486522499091
21,06:45:58.501000,52.31585021,10.562312726,7.82,42.61248054012671
22,06:45:59.501000,52.315853654,10.562263762,10.9,39.30716249892592
23,06:46:00.501000,52.315856709,10.562215502,12.5,36.05595141417498
24,06:46:01.501000,52.315859584,10.562166405,6.77,32.75725443000548
25,06:46:02.501000,52.315861466,10.562117075,12.5,29.442833806617237
26,06:46:03.501000,52.315862003,10.562067332,13.0,26.09217408471242
27,06:46:04.501000,52.315860921,10.562017987,12.5,22.75011846632859
28,06:46:05.501000,52.315856839,10.561968935,18.2,19.376381285128726
29,06:46:06.501000,52.315849365,10.56192124,12.0,16.031625994130884
30,06:46:07.501000,52.315838935,10.561876835,9.9,12.877814921808495
31,06:46:08.501000,52.315825587,10.561835524,10.9,9.993244070778765
32,06:46:09.501000,52.315809253,10.561794828,19.3,7.482105534768414
33,06:46:10.501000,52.315788649,10.561756534,15.6,6.278591913788209
34,06:46:11.501000,52.315765076,10.561725172,12.5,7.318707730707431
35,06:46:12.501000,52.315738488,10.561703047,2.6,9.895500237566619
36,06:46:13.501000,52.31570837,10.561689511,33.4,13.200402896945093
37,06:46:14.501000,52.315677754,10.561680876,33.9,16.616339726565077
38,06:46:15.501000,52.315647658,10.561673529,34.9,19.983853033974516
39,06:46:16.501000,52.315616949,10.561664451,27.6,23.432953593600732
40,06:46:17.501000,52.315585369,10.561653781,23.5,26.994144274300787
41,06:46:18.501000,52.315553534,10.561646851,7.82,30.56492493186385
42,06:46:19.501000,52.315522553,10.561641957,5.21,34.0283930840125
43,06:46:20.501000,52.315492388,10.56163836,7.82,37.39319880361013
44,06:46:21.501000,52.315465701,10.561630544,2.61,40.400098039451805
45,06:46:22.501000,52.315449622,10.561622749,7.82,42.234452701055325
46,06:46:23.501000,52.315432356,10.561614264,5.21,44.20811768265685
47,06:46:24.501000,52.315407431,10.561603589,5.21,47.048766872321714
48,06:46:25.501000,52.315387992,10.561579664,2.61,49.415627982302205
49,06:46:26.501000,52.3153618,10.561570628,2.61,52.389982035431665
50,06:46:27.501000,52.315327493,10.561565089,5.21,56.22046137500801
51,06:46:28.501000,52.315292046,10.561562372,5.21,60.149204892641954
52,06:46:29.501000,52.315254813,10.561562503,2.61,64.25088078936751
53,06:46:30.501000,52.315221655,10.561562801,2.61,67.90630542291727
54,06:46:31.501000,52.315192374,10.561549404,5.21,71.25571997407792
55,06:46:32.501000,52.31516222,10.561541529,2.61,74.6527711800571
56,06:46:34.501000,52.315097182,10.561524538,2.61,81.98007275138158
57,06:46:37.501000,52.314993663,10.561502706,2.61,93.594409896725
