,Time,Latitude,Longitude,Bitrate,Distance
0,06:49:07.249000,52.315583114,10.561721329,35.2,27.22741369230685
1,06:49:07.249000,52.315583114,10.561721329,13.8,27.22741369230685
2,06:49:07.249000,52.315583114,10.561721329,13.5,27.22741369230685
3,06:49:08.249000,52.31558391,10.561721742,36.5,27.141434310145854
4,06:49:09.249000,52.315584596,10.561722155,37.0,27.067698256013784
5,06:49:10.249000,52.315585185,10.561722658,37.0,27.005281625479864
6,06:49:11.249000,52.315585691,10.561723044,21.4,26.951436155411752
7,06:49:12.249000,52.315586295,10.56172334,31.3,26.88622810826254
8,06:49:13.249000,52.315587138,10.561723364,42.2,26.79292551258847
9,06:49:14.249000,52.315591179,10.561724305,21.4,26.350808033501107
10,06:49:15.249000,52.315605111,10.561726033,5.21,24.819149880207057
11,06:49:16.249000,52.315624051,10.561728286,10.4,22.741170970978125
12,06:49:17.249000,52.315650485,10.561734475,15.6,19.88471920280256
13,06:49:18.249000,52.315681556,10.56174635,15.6,16.64987681102279
14,06:49:19.249000,52.315712095,10.56176833,16.7,13.883239897350968
15,06:49:20.249000,52.315738358,10.561797972,15.6,12.349546488407213
16,06:49:21.249000,52.315761763,10.561830471,15.6,12.073443464502118
17,06:49:22.249000,52.315780776,10.561866671,15.6,13.162599770544396
18,06:49:23.249000,52.315796997,10.56190476,16.2,15.087476384242766
19,06:49:24.249000,52.31581127,10.56194721,10.4,17.69506732624258
20,06:49:25.249000,52.315821294,10.561994522,5.21,20.84433514784429
21,06:49:26.249000,52.31582687,10.562047407,10.4,24.441087239196474
22,06:49:27.249000,52.315828532,10.562098552,15.6,27.929367121383184
23,06:49:28.249000,52.315826861,10.562149119,16.2,31.377199712103216
24,06:49:29.249000,52.315824036,10.562203181,5.21,35.06543343791547
25,06:49:30.249000,52.315820585,10.562260026,10.4,38.9468942225973
26,06:49:31.249000,52.315815874,10.562317793,10.4,42.89756611419675
27,06:49:32.249000,52.315809883,10.562375816,5.21,46.875213479579955
28,06:49:33.249000,52.315803173,10.562430862,10.4,50.659720677352716
29,06:49:34.249000,52.315797845,10.562487837,10.4,54.57214609654758
30,06:49:36.249000,52.315789144,10.562606874,20.9,62.73478916906647
31,06:49:37.249000,52.315785044,10.562668723,36.5,66.9738388148738
32,06:49:38.249000,52.315781615,10.562729273,37.5,71.11958291873742
33,06:49:39.249000,52.315778987,10.562789111,42.7,75.21062331770752
34,06:49:40.249000,52.315775997,10.562848429,37.0,79.26916701240437
35,06:49:41.249000,52.315772968,10.56290818,32.3,83.35749752798881
36,06:49:42.249000,52.315770222,10.56296827,26.1,87.4666259509365
37,06:49:43.249000,52.315767783,10.563028054,26.6,91.55247759441912
38,06:49:44.249000,52.315765562,10.563088653,5.21,95.69203358208829
39,06:49:45.249000,52.315763561,10.563150888,5.21,99.94116632986842
40,06:49:46.249000,52.315763116,10.563213382,5.21,104.19602147785331
41,06:49:47.249000,52.315763451,10.563277138,10.4,108.53161910020246
42,06:49:48.249000,52.315761982,10.563340111,11.5,112.82756883256484
