,Time,Latitude,Longitude,Bitrate,Distance
0,06:51:45.750000,52.315831608,10.562816722,13.3,76.90518913066425
1,06:51:45.750000,52.315831608,10.562816722,12.8,76.90518913066425
2,06:51:46.750000,52.31582991,10.5628195,8.34,77.09360325476327
3,06:51:47.750000,52.315827964,10.562821755,10.4,77.24677609074656
4,06:51:48.750000,52.31582599,10.562823722,10.4,77.38092186354312
5,06:51:49.750000,52.315823818,10.562825464,8.34,77.50044431142527
6,06:51:50.750000,52.315822335,10.562819334,4.17,77.08335750112168
7,06:51:51.750000,52.315822381,10.562784961,4.17,74.73935631444824
8,06:51:52.750000,52.315823455,10.562725922,2.08,70.71260309044399
9,06:51:53.750000,52.315825304,10.562648748,4.17,65.44899630199505
10,06:51:54.750000,52.315828016,10.562573529,6.25,60.31936976825446
11,06:51:55.750000,52.315831112,10.562502742,4.17,55.493924103453786
12,06:51:56.750000,52.315835114,10.562431088,8.34,50.613741196940985
13,06:51:57.750000,52.315839813,10.562359531,10.4,45.748174487776986
14,06:51:58.750000,52.315844513,10.562294325,10.4,41.32528802399658
15,06:51:59.750000,52.315849178,10.562232109,14.6,37.11870474568188
16,06:52:00.750000,52.315853881,10.562171677,8.34,33.05112617509981
17,06:52:01.750000,52.315858624,10.562110282,2.08,28.9434572241729
18,06:52:02.750000,52.315863791,10.562049391,42.8,24.91500714729304
19,06:52:03.750000,52.315868708,10.561992003,36.0,21.177654640698975
20,06:52:04.750000,52.315873028,10.561937625,44.3,17.71133727266306
21,06:52:05.750000,52.315877213,10.561886563,41.2,14.58519429806051
22,06:52:06.750000,52.315881262,10.561835148,49.0,11.65267101807329
23,06:52:07.750000,52.315885368,10.5617835,50.0,9.149394169897935
24,06:52:08.750000,52.315889235,10.561731888,47.9,7.517363959958796
25,06:52:09.750000,52.315893361,10.561682699,35.4,7.396701778991197
26,06:52:10.750000,52.315900189,10.561635019,40.2,8.937304951971706
27,06:52:11.750000,52.315907881,10.561586671,30.8,11.388292972641876
28,06:52:12.750000,52.315917076,10.56153479,38.6,14.527585429048084
29,06:52:13.750000,52.315926046,10.561478309,34.9,18.107990246878963
30,06:52:14.750000,52.315934634,10.561421998,45.9,21.793768246665177
31,06:52:15.750000,52.315944521,10.56136719,32.8,25.546155252703986
32,06:52:16.750000,52.315954654,10.561316057,39.6,29.130221957437513
33,06:52:17.750000,52.315963184,10.561267565,26.1,32.489563660932575
34,06:52:18.750000,52.315970759,10.561218003,8.34,35.88198276600047
35,06:52:19.750000,52.315977924,10.561167683,4.69,39.31751372264388
36,06:52:20.750000,52.31598244,10.561119462,4.17,42.516068777848176
37,06:52:21.750000,52.315984168,10.561072191,8.34,45.55321824139954
